created_at,text,screen_name,profile_image
Tue Feb 16 01:14:59 +0000 2021,Is this the dark winter joe Biden is always running his dumb ass mouth about?,tperry1134,https://pbs.twimg.com/profile_images/1309289179159945217/tUaD422W_normal.jpg
Tue Feb 16 01:14:59 +0000 2021,"Happy President's Day!
President Trump!!
We love you Mr President!! 🇺🇸",graca5683,https://pbs.twimg.com/profile_images/2890998564/7cc74a3750e5a93e0e44cc061f183264_normal.jpeg
Tue Feb 16 01:14:59 +0000 2021,"2/15/2021
Donald Trump Has His Last Day Of The Impeachment Trial Today! Donald Trump Has His Last Day Of The Impeachment Trial Today, And That’s Great News! Donald Trump Has Ended His Career Forever!               
#DonaldTrump
#ImpeachmentTrial",ProdigyParadox,https://pbs.twimg.com/profile_images/1267999653901021184/h9cPyQbv_normal.jpg
Tue Feb 16 01:14:59 +0000 2021,@nomadcapitalist Have you seen Biden’s talk on taxing “unrealized gains”?,adamrees,https://pbs.twimg.com/profile_images/1165009118379347969/jqWvD48p_normal.jpg
Tue Feb 16 01:14:59 +0000 2021,@seanhannity You know Biden asked that Dan to be VP for a reason! Yhep he was doing what he was told to do!!! Get ready for some real stupid stuff coming and that what the Democratics wanted to really be president! Remember where you herd this first!!!,GibsonRoss3,https://pbs.twimg.com/profile_images/1337844792886243330/iUGptbF-_normal.jpg
Tue Feb 16 01:14:59 +0000 2021,"@LReynosoRusso It makes me think how all the Republicans living in blue states could keep supporting Trump after being on the receiving end of his pettiness. He treated whole states like he did other civil servants who put the country first above him, as it should be.",SplAdamSage,https://pbs.twimg.com/profile_images/1161671750444343296/NhPHzW23_normal.jpg
Tue Feb 16 01:14:58 +0000 2021,"Minority Leader McConnell ""Trump is responsible for the mob attack on the Capitol Building and Trump hadn't gotten away with anything yet"" WRONG he got away with being IMPEACHED, because you voted not guilty. McConnell is a disgusting two faced snake  that can't be trusted.",kson112,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Tue Feb 16 01:14:58 +0000 2021,"@RealMattCouch Biden
Harris
Pelosi
Schumer
Etc.",YouniquebyKerri,https://pbs.twimg.com/profile_images/551897684874108928/KGTBh33g_normal.jpeg
Tue Feb 16 01:14:58 +0000 2021,"@AGirlJustKnows I get the feeling every night Biden's ""soul"" prays for herd immunity.",Indy_Penned_It,https://pbs.twimg.com/profile_images/1273451959866011657/sdrSMXlh_normal.jpg
Tue Feb 16 01:14:58 +0000 2021,"New DNC video highlights Republicans leaving GOP https://t.co/XuLdHJDS2z S
STATE REPUBLICAN LEGISLATURE ARE PUSHING 165 CHANGES THAT WOULD MAKE IT HARDER FOR BLACKS, MINORITIES, WOMEN &amp; YOUNG PEOPLE TO VOTE.  Biden, Pelosi &amp; Schumer must counter these moves NOW, before 2022.",drsam800,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Tue Feb 16 01:14:58 +0000 2021,"@morenol_1990 @realestchrispy @JTE2409 @GameSpot @johncampea Cloth mask effectiveness is debatable, haven't seen anything about the election but couldn't be much different than Democrat election denial and Russian conspiracy theories after Trump elexn. She poked fun at pronoun nonsense, not trans people",Conrguy,https://pbs.twimg.com/profile_images/841828483126951936/5mPQ_Jw-_normal.jpg
Tue Feb 16 01:14:58 +0000 2021,"@nypapajoe Arrrrriiiiiiiiiba mi Trump, is original, controversy, is a good warrior 👏😄🙋",SergioJP1975020,https://pbs.twimg.com/profile_images/1356416714951458816/AIpYQvFF_normal.jpg
Tue Feb 16 01:14:58 +0000 2021,"Republican lawmaker shunned by his family over vote to convict Trump https://t.co/2JqfslZ1IL
 Recall all 43 g o pigs who voted to acquit",jimbrow39020601,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Tue Feb 16 01:14:58 +0000 2021,https://t.co/xPXTTL3l36 via @theblaze,queenvk1,https://pbs.twimg.com/profile_images/578649787370770432/Ekb6LybA_normal.jpeg
Tue Feb 16 01:14:57 +0000 2021,"@jacksonhinklle Confirming ""True"" that he delayed implementation is not the same thing as True that he somehow raised prices.  Trump E.O. wasn't in effect yet, so freeze didn't impact prices.  https://t.co/jg2iOeHXKS",sharigriffen,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Tue Feb 16 01:14:57 +0000 2021,@seanhannity MAGA!!  Democrats exposed lying and manipulating evidence.  Perfect ending to the amazing term.  Impeachment failed.  Democrats on a spiral downturn.  TRUMP!!,alandawn3,https://pbs.twimg.com/profile_images/449098366920572928/-zzDIiKY_normal.jpeg
Tue Feb 16 01:14:57 +0000 2021,"So lets move to the ""Christian message"" Trump gave, which according to this letter laid out the plan of salvation, which is Christian-speak for becoming a Christian.

Jesus preached repentance, yes, but that's about where the overlap ends. He never asked His listeners to... /16",RevEricAtcheson,https://pbs.twimg.com/profile_images/1353348693768994816/JxT8M-OO_normal.jpg
Tue Feb 16 01:14:57 +0000 2021,@CNNBrasil Os EUA vão se livrando do negacionismo infame disseminado por Trump e as coisas já melhoram bastante.,isacmariano,https://pbs.twimg.com/profile_images/1282779073341722629/PK9rf-55_normal.jpg
